cluster,rank,gene,log2_fold_change,pval_adj,score
0,1,CCL5,4.966028213500977,6.830781068504398e-113,22.997121810913086
0,2,NKG7,4.425383567810059,3.3832812200746734e-89,20.4596004486084
0,3,B2M,0.7628016471862793,8.321654245451096e-83,19.70857048034668
0,4,IL32,2.6722195148468018,1.090218684296516e-74,18.723588943481445
0,5,CST7,3.876400947570801,4.178063094080438e-68,17.8857364654541
0,6,GZMA,3.774770498275757,1.620148331465426e-64,17.408693313598633
0,7,HLA-C,0.9346368312835693,4.985794321562983e-60,16.797513961791992
0,8,CTSW,2.929769277572632,1.9576038668234742e-57,16.431293487548828
0,9,HLA-A,0.954579770565033,5.502144636140527e-50,15.348748207092285
0,10,CD3D,2.15700626373291,1.3075906205627663e-49,15.285622596740723
0,11,GZMK,4.953026294708252,1.5695864089332047e-48,15.116589546203613
0,12,PTPRCAP,1.678389072418213,1.1957582823718606e-38,13.529571533203125
0,13,LYAR,2.845315933227539,4.3208296191394715e-32,12.363938331604004
0,14,HCST,1.4135310649871826,1.3080549249269827e-26,11.292402267456055
0,15,CD8A,3.474863052368164,1.556834536543892e-26,11.271411895751953
0,16,GZMM,2.151611089706421,1.453433158913204e-25,11.067596435546875
0,17,HLA-B,0.6473390460014343,4.567991827506295e-23,10.524495124816895
0,18,MALAT1,0.5664390325546265,1.250710847905211e-22,10.420148849487305
0,19,KLRG1,3.2364840507507324,2.241543849590254e-22,10.360260963439941
0,20,CD99,1.3262968063354492,4.7829234456951785e-21,10.055148124694824
0,21,LCK,1.5708450078964233,7.868270552810034e-21,10.002118110656738
0,22,RARRES3,1.2898390293121338,1.455340024771068e-17,9.209066390991211
0,23,CD3E,1.3426498174667358,3.3687272723036015e-17,9.105367660522461
0,24,MYL12A,0.7125676870346069,6.91337604243199e-17,9.023918151855469
0,25,PRF1,2.1534078121185303,1.761705675827062e-16,8.914924621582031
1,1,RPS12,1.0362346172332764,1.4117861102979673e-216,31.712968826293945
1,2,LDHB,2.5983223915100098,9.573481572113703e-206,30.894954681396484
1,3,RPS25,1.1549731492996216,5.976995977409789e-191,29.742328643798828
1,4,RPS27,1.0064265727996826,6.089195167581361e-182,29.0311222076416
1,5,RPS6,0.8571445345878601,5.673185438279583e-177,28.624719619750977
1,6,RPS3,0.8653059601783752,3.3356537447958975e-175,28.47808074951172
1,7,RPS14,0.7894930839538574,1.3040988058783304e-173,28.345504760742188
1,8,RPL31,1.1129555702209473,4.903261120481152e-161,27.29958152770996
1,9,RPL32,0.7430859804153442,1.0825436984710528e-158,27.09847640991211
1,10,RPL3,0.8518946766853333,2.663454629855937e-157,26.97488784790039
